,ONT NE ID,ONT PON Branch ID,OLT Location,Vendor name,Model,Serialnumber,Software revision,Hardware revision,Distance from OLT,Flag for Wholesale or on-net,Consolidated,Uptime - powered,Uptime - online,Hierarchy Path,Flag for B2B or B2C.,Latitude,Longitude
0,DTAL008:1/1/1/2/15,DTAL_008_101_2_2021_2_308_27,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458406,3FE49337AOCK100,3FE49331BAAA21,18.1km,On-Net,N,35 days : 2hrs : 30s,23 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.283317, -6.405912
1,DTAL008:1/1/1/2/16,DTAL_008_101_2_2021_2_308_28,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458407,3FE49337AOCK101,3FE49331BAAA22,18.1km,On-Net,N,36 days : 2hrs : 30s,24 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.27278,-6.371594
2,DTAL008:1/1/1/2/17,DTAL_0010_101_2_2021_2_308_26,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458408,3FE49337AOCK102,3FE49331BAAA23,18.1km,On-Net,N,37 days : 2hrs : 30s,25 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.276072,-6.349044
3,DTAL008:1/1/1/2/18,DTAL_0010_101_2_2021_2_308_26,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458409,3FE49337AOCK103,3FE49331BAAA24,18.1km,On-Net,N,38 days : 2hrs : 30s,26 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.284338,-6.333024
4,DTAL008:1/1/1/2/19,DTAL_008_101_2_2021_2_308_29,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458410,3FE49337AOCK104,3FE49331BAAA25,18.1km,On-Net,N,39 days : 2hrs : 30s,27 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.29127, -6.336703
5,DTAL008:1/1/1/2/20,DTAL_008_101_2_2021_2_308_30,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458411,3FE49337AOCK105,3FE49331BAAA26,18.1km,On-Net,N,40 days : 2hrs : 30s,28 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.302724,-6.354006
6,DTAL008:1/1/1/2/21,DTAL_0010_101_2_2021_2_308_26,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458412,3FE49337AOCK106,3FE49331BAAA27,18.1km,On-Net,N,41 days : 2hrs : 30s,29 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.310806,-6.386092
7,DTAL008:1/1/1/2/22,DTAL_0010_101_2_2021_2_308_26,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458413,3FE49337AOCK107,3FE49331BAAA28,18.1km,On-Net,N,42 days : 2hrs : 30s,30 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.294205,-6.391695
8,DTAL008:1/1/1/2/23,DTAL_008_101_2_2021_2_308_31,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458414,3FE49337AOCK108,3FE49331BAAA29,18.1km,On-Net,N,43 days : 2hrs : 30s,31 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.276315,-6.348046
9,DTAL008:1/1/1/2/24,DTAL_008_101_2_2021_2_308_32,Tallaght Hub,Nokia,XS-010X-Q,SMBS03458415,3FE49337AOCK109,3FE49331BAAA30,18.1km,On-Net,N,44 days : 2hrs : 30s,32 days : 1 hr : 46 mins,VMIE->DTAL008,Residential,53.266977,-6.356493
10,DTAL010:1/1/1/3/1,DTAL_0010_101_2_2021_2_308_26,Rathmines,Nokia,XS-010X-Q,SMBS03458416,3FE49337AOCK110,3FE49331BAAA31,18.1km,On-Net,N,45 days : 2hrs : 30s,33 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.328401,-6.269282
11,DTAL010:1/1/1/3/2,DTAL_0010_101_2_2021_2_308_26,Rathmines,Nokia,XS-010X-Q,SMBS03458417,3FE49337AOCK111,3FE49331BAAA32,18.1km,On-Net,N,46 days : 2hrs : 30s,34 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.325156,-6.264582
12,DTAL010:1/1/1/3/3,DTAL_008_101_2_2021_2_308_33,Rathmines,Nokia,XS-010X-Q,SMBS03458418,3FE49337AOCK112,3FE49331BAAA33,18.1km,On-Net,N,47 days : 2hrs : 30s,35 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.319355,-6.261938
13,DTAL010:1/1/1/3/4,DTAL_008_101_2_2021_2_308_34,Rathmines,Nokia,XS-010X-Q,SMBS03458419,3FE49337AOCK113,3FE49331BAAA34,18.1km,On-Net,N,48 days : 2hrs : 30s,36 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.316483,-6.259535
14,DTAL010:1/1/1/3/5,DTAL_0010_101_2_2021_2_308_26,Rathmines,Nokia,XS-010X-Q,SMBS03458420,3FE49337AOCK114,3FE49331BAAA35,18.1km,On-Net,N,49 days : 2hrs : 30s,37 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.313715,-6.253441
15,DTAL010:1/1/1/3/6,DTAL_0010_101_2_2021_2_308_26,Rathmines,Nokia,XS-010X-Q,SMBS03458421,3FE49337AOCK115,3FE49331BAAA36,18.1km,On-Net,N,50 days : 2hrs : 30s,38 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.31033,-6.260479
16,DTAL010:1/1/1/3/7,DTAL_008_101_2_2021_2_308_35,Rathmines,Nokia,XS-010X-Q,SMBS03458422,3FE49337AOCK116,3FE49331BAAA37,18.1km,On-Net,N,51 days : 2hrs : 30s,39 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.316278,-6.264771
17,DTAL010:1/1/1/3/8,DTAL_008_101_2_2021_2_308_36,Rathmines,Nokia,XS-010X-Q,SMBS03458423,3FE49337AOCK117,3FE49331BAAA38,18.1km,On-Net,N,52 days : 2hrs : 30s,40 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.31797,-6.273525
18,DTAL010:1/1/1/3/9,DTAL_0010_101_2_2021_2_308_26,Rathmines,Nokia,XS-010X-Q,SMBS03458424,3FE49337AOCK118,3FE49331BAAA39,18.1km,On-Net,N,53 days : 2hrs : 30s,41 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.321918,-6.27816
19,DTAL010:1/1/1/3/10,DTAL_0010_101_2_2021_2_308_26,Rathmines,Nokia,XS-010X-Q,SMBS03458425,3FE49337AOCK119,3FE49331BAAA40,18.1km,On-Net,N,54 days : 2hrs : 30s,42 days : 1 hr : 46 mins,VMIE->DTAL010,Residential,53.327301,-6.273525
20,DTAL011:1/1/1/4/1,DTAL_008_101_2_2021_2_308_37,Dundrum,Nokia,XS-010X-Q,SMBS03458426,3FE49337AOCK120,3FE49331BAAA41,18.1km,On-Net,N,55 days : 2hrs : 30s,43 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.303691,-6.267872
21,DTAL011:1/1/1/4/2,DTAL_008_101_2_2021_2_308_38,Dundrum,Nokia,XS-010X-Q,SMBS03458427,3FE49337AOCK121,3FE49331BAAA42,18.1km,On-Net,N,56 days : 2hrs : 30s,44 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.313966, -6.220560
